instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,sum_check
1,2011-01-01,Spring,0,1,No Holiday,6,0,2,14.110847,18.18125,80.58330000000001,10.749882,331,654,6.892641641172089,985
2,2011-01-02,Spring,0,1,No Holiday,0,0,2,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,6.68586094706836,801
3,2011-01-03,Spring,0,1,No Holiday,1,1,1,8.050924,9.47025,43.7273,16.636703,120,1229,7.207118856207756,1349
4,2011-01-04,Spring,0,1,No Holiday,2,1,1,8.200000000000001,10.6061,59.0435,10.739832,108,1454,7.3537223303996315,1562
5,2011-01-05,Spring,0,1,No Holiday,3,1,1,9.305237,11.4635,43.695699999999995,12.522300000000001,82,1518,7.3777589082278725,1600
6,2011-01-06,Spring,0,1,No Holiday,4,1,1,8.378268,11.66045,51.8261,6.0008684,88,1518,7.381501894506707,1606
7,2011-01-07,Spring,0,1,No Holiday,5,1,2,8.057402,10.44195,49.8696,11.304642,148,1362,7.31986492980897,1510
8,2011-01-08,Spring,0,1,No Holiday,6,0,2,6.765000000000001,8.1127,53.5833,17.875868,68,891,6.8658910748834385,959
9,2011-01-09,Spring,0,1,No Holiday,0,0,1,5.671653,5.80875,43.416700000000006,24.25065,54,768,6.71174039505618,822
10,2011-01-10,Spring,0,1,No Holiday,1,1,1,6.184153,7.5443999999999996,48.2917,14.958889,41,1280,7.186144304522325,1321
11,2011-01-11,Spring,0,1,No Holiday,2,1,2,6.9327309999999995,9.5732,68.6364,8.182844000000001,43,1220,7.141245122350491,1263
12,2011-01-12,Spring,0,1,No Holiday,3,1,1,7.0818069999999995,8.02365,59.954499999999996,20.410009,25,1137,7.057897937411856,1162
13,2011-01-13,Spring,0,1,No Holiday,4,1,1,6.765000000000001,7.544149999999999,47.0417,20.166999999999998,38,1368,7.2485040723706105,1406
14,2011-01-14,Spring,0,1,No Holiday,5,1,1,6.59567,9.42065,53.7826,8.478716,54,1367,7.259116128097101,1421
15,2011-01-15,Spring,0,1,No Holiday,6,0,2,9.566653,12.4056,49.875,10.583521,222,1026,7.129297548929373,1248
16,2011-01-16,Spring,0,1,No Holiday,0,0,1,9.498347,11.71085,48.375,12.625010999999999,251,953,7.093404625868766,1204
17,2011-01-17,Spring,0,1,Holiday,1,0,2,7.209153,8.838550000000001,53.75,12.999139,117,883,6.907755278982137,1000
18,2011-01-18,Spring,0,1,No Holiday,2,1,2,8.883347,11.61665,86.16669999999999,9.833924999999999,9,674,6.52649485957079,683
19,2011-01-19,Spring,0,1,No Holiday,3,1,2,11.979134,14.921100000000001,74.1739,13.957239,78,1572,7.408530566894626,1650
20,2011-01-20,Spring,0,1,No Holiday,4,1,2,10.728347,12.7525,53.833299999999994,13.125568,83,1844,7.563719668414366,1927
21,2011-01-21,Spring,0,1,No Holiday,5,1,1,7.2775,7.89165,45.7083,23.667214,75,1468,7.341483852363161,1543
22,2011-01-22,Spring,0,1,No Holiday,6,0,1,2.4243464,3.9534800000000003,40.0,11.52199,93,888,6.8885724595653635,981
23,2011-01-23,Spring,0,1,No Holiday,0,0,1,3.9573897000000002,4.941955,43.6522,16.5222,150,836,6.893656354602635,986
24,2011-01-24,Spring,0,1,No Holiday,1,1,1,3.9930433,5.8965,49.173899999999996,10.60811,86,1330,7.255591274253665,1416
25,2011-01-25,Spring,0,1,No Holiday,2,1,2,9.162598000000001,11.7263,61.695699999999995,8.696332,186,1799,7.59337419312129,1985
26,2011-01-26,Spring,0,1,No Holiday,3,1,3,8.9175,10.18,86.25,19.68795,34,472,6.226536669287466,506
27,2011-01-27,Spring,0,1,No Holiday,4,1,1,7.995,10.985,68.75,7.627078999999999,15,416,6.066108090103747,431
28,2011-01-28,Spring,0,1,No Holiday,5,1,2,8.342597999999999,11.165849999999999,79.30430000000001,8.2611,38,1129,7.062191632286556,1167
29,2011-01-29,Spring,0,1,No Holiday,6,0,1,8.057402,10.606300000000001,65.17389999999999,9.739455,123,975,7.001245622069476,1098
30,2011-01-30,Spring,0,1,No Holiday,0,0,1,8.877402,12.5161,72.2174,4.956834199999999,140,956,6.999422467507961,1096
31,2011-01-31,Spring,0,1,No Holiday,1,1,2,7.414153,9.3125,60.375,12.541864,42,1459,7.313886831633462,1501
32,2011-02-01,Spring,0,2,No Holiday,2,1,2,7.8791340000000005,11.7265,82.9565,3.565271,47,1313,7.215239978730097,1360
33,2011-02-02,Spring,0,2,No Holiday,3,1,2,10.66,12.72085,77.5417,17.708636,72,1454,7.330405211844402,1526
34,2011-02-03,Spring,0,2,No Holiday,4,1,1,7.665237,8.8939,43.7826,18.609384,61,1489,7.346010209913293,1550
35,2011-02-04,Spring,0,2,No Holiday,5,1,2,8.663464,11.429350000000001,58.521699999999996,8.565213,88,1620,7.443078374348516,1708
36,2011-02-05,Spring,0,2,No Holiday,6,0,2,9.566653,12.152899999999999,92.91669999999999,10.792293,100,905,6.912742820493176,1005
37,2011-02-06,Spring,0,2,No Holiday,0,0,1,11.719153,14.58355,56.833299999999994,9.5006,354,1269,7.392031567514591,1623
38,2011-02-07,Spring,0,2,No Holiday,1,1,1,11.138347,15.1829,73.83330000000001,3.0423561,120,1592,7.445417556701687,1712
39,2011-02-08,Spring,0,2,No Holiday,2,1,1,9.054153,9.9123,53.7917,24.25065,64,1466,7.333023014386481,1530
40,2011-02-09,Spring,0,2,No Holiday,3,1,2,5.526102999999999,7.21415,49.4783,12.652213,53,1552,7.380879035564116,1605
41,2011-02-10,Spring,0,2,No Holiday,4,1,1,5.918268,7.477399999999999,43.7391,14.869645,47,1491,7.338238150065589,1538
